2025-12-28 05:32:58 | INFO     | app.main             | log_requests         | [0532586758] ✗ GET /wp/wp-includes/wlwmanifest.xml - 404 (0ms)
2025-12-28 05:33:00 | DEBUG    | app.main             | log_requests         | [0533007197] GET /2020/wp-includes/wlwmanifest.xml
2025-12-28 05:33:00 | INFO     | app.main             | log_requests         | [0533007197] ✗ GET /2020/wp-includes/wlwmanifest.xml - 404 (0ms)
2025-12-28 05:33:02 | DEBUG    | app.main             | log_requests         | [0533023566] GET /2019/wp-includes/wlwmanifest.xml
2025-12-28 05:33:02 | INFO     | app.main             | log_requests         | [0533023566] ✗ GET /2019/wp-includes/wlwmanifest.xml - 404 (0ms)
2025-12-28 05:33:04 | DEBUG    | app.main             | log_requests         | [0533046933] GET /2021/wp-includes/wlwmanifest.xml
2025-12-28 05:33:04 | INFO     | app.main             | log_requests         | [0533046933] ✗ GET /2021/wp-includes/wlwmanifest.xml - 404 (0ms)
2025-12-28 05:33:07 | DEBUG    | app.main             | log_requests         | [0533072028] GET /shop/wp-includes/wlwmanifest.xml
2025-12-28 05:33:07 | INFO     | app.main             | log_requests         | [0533072028] ✗ GET /shop/wp-includes/wlwmanifest.xml - 404 (0ms)
2025-12-28 05:33:10 | DEBUG    | app.main             | log_requests         | [0533103342] GET /wp1/wp-includes/wlwmanifest.xml
2025-12-28 05:33:10 | INFO     | app.main             | log_requests         | [0533103342] ✗ GET /wp1/wp-includes/wlwmanifest.xml - 404 (0ms)
2025-12-28 05:33:13 | DEBUG    | app.main             | log_requests         | [0533133531] GET /test/wp-includes/wlwmanifest.xml
2025-12-28 05:33:13 | INFO     | app.main             | log_requests         | [0533133531] ✗ GET /test/wp-includes/wlwmanifest.xml - 404 (0ms)
2025-12-28 05:33:15 | DEBUG    | app.main             | log_requests         | [0533152306] GET /site/wp-includes/wlwmanifest.xml
2025-12-28 05:33:15 | INFO     | app.main             | log_requests         | [0533152306] ✗ GET /site/wp-includes/wlwmanifest.xml - 404 (0ms)
2025-12-28 05:33:17 | DEBUG    | app.main             | log_requests         | [0533171220] GET /cms/wp-includes/wlwmanifest.xml
2025-12-28 05:33:17 | INFO     | app.main             | log_requests         | [0533171220] ✗ GET /cms/wp-includes/wlwmanifest.xml - 404 (0ms)
2025-12-28 05:40:05 | DEBUG    | app.main             | log_requests         | [0540052401] GET /
2025-12-28 05:40:05 | INFO     | app.main             | log_requests         | [0540052401] ✔ GET / - 200 (0ms)
2025-12-28 05:52:09 | DEBUG    | app.main             | log_requests         | [0552097193] GET /
2025-12-28 05:52:09 | INFO     | app.main             | log_requests         | [0552097193] ✔ GET / - 200 (0ms)
2025-12-28 05:56:50 | DEBUG    | app.main             | log_requests         | [0556508670] GET /
2025-12-28 05:56:50 | INFO     | app.main             | log_requests         | [0556508670] ✔ GET / - 200 (0ms)
2025-12-28 06:06:44 | DEBUG    | app.main             | log_requests         | [0606447383] HEAD /
2025-12-28 06:06:44 | INFO     | app.main             | log_requests         | [0606447383] ✗ HEAD / - 405 (0ms)
2025-12-28 06:06:44 | DEBUG    | app.main             | log_requests         | [0606449457] GET /
2025-12-28 06:06:44 | INFO     | app.main             | log_requests         | [0606449457] ✔ GET / - 200 (0ms)
